epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6987,2.3937,4.65034,1.791,0.0022,0.09948,0.00502,0.00212,2.10849,4.11072,1.59028,0.000180813,0.000180813,0.000180813
2,43.3256,2.14389,3.42202,1.51883,0.81334,0.03337,0.0585,0.0235,2.08724,3.03209,1.68548,0.000358897,0.000358897,0.000358897
3,63.6442,2.01473,2.92448,1.48714,0.68148,0.08658,0.08157,0.03244,2.08416,2.76255,1.65603,0.000529641,0.000529641,0.000529641
4,83.6863,1.92565,2.61397,1.45678,0.6768,0.16272,0.12892,0.05431,1.99674,2.51724,1.5881,0.000522974,0.000522974,0.000522974
5,104.235,1.9078,2.40538,1.39725,0.64743,0.20674,0.19357,0.08649,1.82459,2.1202,1.51141,0.000511965,0.000511965,0.000511965
6,123.942,1.8567,2.30453,1.37238,0.65684,0.21123,0.20102,0.09077,1.79901,1.993,1.54097,0.000500956,0.000500956,0.000500956
7,144.813,1.79738,2.1806,1.35404,0.67884,0.23722,0.23491,0.11167,1.70651,1.83005,1.45897,0.000489947,0.000489947,0.000489947
8,164.529,1.75264,2.11008,1.3357,0.67996,0.26183,0.23808,0.10734,1.73027,1.89202,1.44485,0.000478938,0.000478938,0.000478938
9,184.379,1.70627,2.0874,1.31489,0.62577,0.28787,0.2388,0.10968,1.69807,1.78103,1.4268,0.00046793,0.00046793,0.00046793
10,204.266,1.69552,2.00358,1.32961,0.70108,0.28197,0.27846,0.13494,1.68473,1.69772,1.43989,0.000456921,0.000456921,0.000456921
11,224.388,1.64187,1.93346,1.28982,0.6588,0.26483,0.23481,0.1108,1.68072,1.79808,1.43186,0.000445912,0.000445912,0.000445912
12,244.415,1.63791,1.89599,1.28924,0.65344,0.32503,0.26335,0.12754,1.67469,1.66143,1.46668,0.000434903,0.000434903,0.000434903
13,263.991,1.62757,1.85503,1.26157,0.69216,0.28365,0.27415,0.13781,1.61232,1.58381,1.43233,0.000423894,0.000423894,0.000423894
14,284.073,1.64639,1.85605,1.28274,0.73372,0.2688,0.28296,0.13813,1.63042,1.60414,1.4253,0.000412886,0.000412886,0.000412886
15,306.09,1.58521,1.76335,1.24801,0.71041,0.30622,0.27516,0.13959,1.62119,1.61378,1.42197,0.000401877,0.000401877,0.000401877
16,327.683,1.57757,1.7162,1.24893,0.70749,0.29446,0.277,0.13082,1.63603,1.65352,1.44187,0.000390868,0.000390868,0.000390868
17,348.009,1.58193,1.70776,1.25261,0.69392,0.303,0.28503,0.14371,1.6675,1.54436,1.44667,0.000379859,0.000379859,0.000379859
18,368.525,1.52783,1.66308,1.21722,0.69755,0.31809,0.29446,0.15096,1.64523,1.62783,1.42444,0.00036885,0.00036885,0.00036885
19,388.882,1.53479,1.64779,1.23476,0.67938,0.29438,0.28137,0.1466,1.57169,1.68237,1.38018,0.000357842,0.000357842,0.000357842
20,409.103,1.51958,1.6231,1.23188,0.76414,0.28244,0.31528,0.16619,1.53298,1.48457,1.41213,0.000346833,0.000346833,0.000346833
21,429.408,1.46491,1.58685,1.20916,0.75577,0.28604,0.30731,0.1586,1.57486,1.54837,1.41495,0.000335824,0.000335824,0.000335824
22,449.657,1.48872,1.5808,1.21187,0.73749,0.30569,0.31337,0.16348,1.54791,1.52118,1.36119,0.000324815,0.000324815,0.000324815
23,470.032,1.47598,1.57254,1.19519,0.75397,0.28757,0.32623,0.1753,1.52896,1.45033,1.36937,0.000313806,0.000313806,0.000313806
24,490.269,1.47984,1.54502,1.19372,0.65836,0.31995,0.33208,0.17607,1.56131,1.47747,1.41798,0.000302798,0.000302798,0.000302798
25,511.167,1.47226,1.50054,1.19981,0.77251,0.28891,0.33307,0.17012,1.56175,1.46111,1.42539,0.000291789,0.000291789,0.000291789
26,532.011,1.43148,1.46412,1.17108,0.71493,0.33093,0.34569,0.17797,1.52425,1.45174,1.38722,0.00028078,0.00028078,0.00028078
27,552.723,1.4306,1.45875,1.17468,0.69812,0.32513,0.30759,0.16042,1.56812,1.56546,1.38297,0.000269771,0.000269771,0.000269771
28,577.093,1.42197,1.43261,1.16425,0.70721,0.33242,0.33276,0.18431,1.51488,1.42228,1.36544,0.000258762,0.000258762,0.000258762
29,598.862,1.43429,1.43805,1.16553,0.72419,0.35383,0.35635,0.19136,1.51646,1.36536,1.35494,0.000247754,0.000247754,0.000247754
30,618.729,1.40768,1.38061,1.16959,0.75107,0.35834,0.35136,0.18854,1.52673,1.38022,1.39111,0.000236745,0.000236745,0.000236745
31,638.97,1.39845,1.37885,1.16191,0.74144,0.32441,0.32425,0.17884,1.50347,1.44842,1.37501,0.000225736,0.000225736,0.000225736
32,659.404,1.39065,1.36286,1.1676,0.73633,0.33054,0.34538,0.18717,1.53733,1.41285,1.41253,0.000214727,0.000214727,0.000214727
33,679.695,1.37834,1.35755,1.15031,0.63352,0.35862,0.3467,0.18468,1.51277,1.49606,1.37285,0.000203718,0.000203718,0.000203718
34,700.41,1.37274,1.35402,1.16055,0.59528,0.37497,0.33967,0.18234,1.53527,1.42606,1.39163,0.00019271,0.00019271,0.00019271
35,720.843,1.388,1.3233,1.15256,0.68604,0.33781,0.34526,0.18881,1.50029,1.40242,1.38203,0.000181701,0.000181701,0.000181701
36,741.197,1.36191,1.28673,1.12737,0.69112,0.32001,0.35588,0.19843,1.48931,1.37114,1.35079,0.000170692,0.000170692,0.000170692
37,761.775,1.36615,1.31732,1.15068,0.65094,0.3439,0.36148,0.19584,1.50346,1.35811,1.35171,0.000159683,0.000159683,0.000159683
38,782.082,1.33304,1.28836,1.13694,0.65904,0.30975,0.34039,0.18456,1.50525,1.43048,1.35265,0.000148674,0.000148674,0.000148674
39,802.403,1.33689,1.27092,1.12804,0.575,0.31075,0.34035,0.19057,1.49231,1.45102,1.34074,0.000137666,0.000137666,0.000137666
40,822.684,1.34446,1.29499,1.14142,0.69511,0.32856,0.36584,0.2021,1.46653,1.35174,1.35338,0.000126657,0.000126657,0.000126657
41,856.896,1.25983,1.17862,1.08561,0.68904,0.33989,0.36184,0.20214,1.48564,1.33731,1.36757,0.000115648,0.000115648,0.000115648
42,877.287,1.22527,1.13819,1.06764,0.57382,0.35298,0.35572,0.19469,1.48546,1.37899,1.37075,0.000104639,0.000104639,0.000104639
43,897.687,1.19826,1.10094,1.05797,0.5756,0.34505,0.3473,0.19342,1.4859,1.38954,1.37326,9.36304e-05,9.36304e-05,9.36304e-05
44,917.787,1.18935,1.12112,1.05297,0.62061,0.36071,0.35014,0.19472,1.48954,1.41855,1.37382,8.26216e-05,8.26216e-05,8.26216e-05
45,938.018,1.19734,1.0875,1.05484,0.78232,0.32363,0.36735,0.2086,1.45998,1.33348,1.34919,7.16128e-05,7.16128e-05,7.16128e-05
46,958.377,1.1729,1.07505,1.0453,0.68173,0.31937,0.35179,0.20193,1.48188,1.38955,1.35785,6.0604e-05,6.0604e-05,6.0604e-05
47,978.744,1.16863,1.05879,1.03546,0.47354,0.38423,0.37309,0.2133,1.45135,1.33867,1.34173,4.95952e-05,4.95952e-05,4.95952e-05
48,998.999,1.15827,1.03726,1.04028,0.58509,0.33042,0.35134,0.19757,1.47059,1.37139,1.35259,3.85864e-05,3.85864e-05,3.85864e-05
49,1019.28,1.17492,1.0331,1.03013,0.70805,0.32189,0.36679,0.20725,1.45382,1.33398,1.34692,2.75776e-05,2.75776e-05,2.75776e-05
50,1039.44,1.13484,1.01519,1.0347,0.60682,0.32989,0.36695,0.20826,1.45028,1.33008,1.34887,1.65688e-05,1.65688e-05,1.65688e-05
